City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Serra,BR,2020-06-18 20:42:40,-20.13,-40.31,296.15,78,2,2.1
138,Labuan,MY,2020-06-18 20:42:40,5.28,115.24,299.15,94,75,1.0
139,Karpathos,GR,2020-06-18 20:40:46,35.51,27.21,295.15,83,0,10.3
140,Kodiak,US,2020-06-18 20:39:59,57.79,-152.41,284.15,81,90,4.1
141,Sale,MA,2020-06-18 20:42:40,34.04,-6.82,293.71,68,40,3.6
142,Alice Springs,AU,2020-06-18 20:36:32,-23.7,133.88,284.26,52,0,1.5
143,Ndola,ZM,2020-06-18 20:42:41,-12.96,28.64,283.98,77,0,2.76
144,Dingle,PH,2020-06-18 20:42:41,11.0,122.67,297.24,93,100,3.38
145,Adrar,MR,2020-06-18 20:40:11,20.5,-10.07,311.0,15,81,6.17
146,Port Blair,IN,2020-06-18 20:39:46,11.67,92.75,301.16,84,99,5.66
147,Hermanus,ZA,2020-06-18 20:39:51,-34.42,19.23,284.26,78,0,0.45
148,Sao Mateus,BR,2020-06-18 20:42:42,-18.72,-39.86,294.76,86,27,1.9
149,Macklin,CA,2020-06-18 20:42:42,52.33,-109.93,287.87,49,69,4.6
150,Guerrero Negro,MX,2020-06-18 20:41:35,27.98,-114.06,295.93,50,1,7.38
151,Tazovskiy,RU,2020-06-18 20:42:42,67.47,78.7,275.66,79,0,4.39
152,Bandarbeyla,SO,2020-06-18 20:42:43,9.49,50.81,299.93,73,94,14.02
153,Alofi,NU,2020-06-18 20:37:53,-19.06,-169.92,297.15,69,40,8.7
154,Puerto Ayora,EC,2020-06-18 20:39:49,-0.74,-90.35,302.15,51,67,6.7
155,Canmore,CA,2020-06-18 20:41:14,51.08,-115.35,288.15,62,90,3.1
156,Ribeira Grande,PT,2020-06-18 20:40:16,38.52,-28.7,291.15,88,75,3.1
157,Ulaangom,MN,2020-06-18 20:42:43,49.98,92.07,289.04,46,1,2.34
158,Udachnyy,RU,2020-06-18 20:41:06,66.42,112.4,286.15,58,75,3.0
159,Angoche,MZ,2020-06-18 20:42:44,-16.23,39.91,294.66,86,0,4.3
160,Sonoita,MX,2020-06-18 20:42:44,31.85,-112.83,308.15,12,0,0.89
161,Koungheul,SN,2020-06-18 20:42:44,13.98,-14.8,310.46,28,3,2.41
162,Aykhal,RU,2020-06-18 20:42:44,66.0,111.5,286.15,58,75,3.0
163,Buin,CL,2020-06-18 20:42:45,-33.73,-70.75,284.15,71,75,1.36
164,Seybaplaya,MX,2020-06-18 20:42:45,19.65,-90.67,300.15,83,75,7.7
165,Hindaun,IN,2020-06-18 20:42:45,26.72,77.02,308.75,30,83,5.83
166,Hanzhong,CN,2020-06-18 20:42:46,33.07,107.03,292.86,76,60,0.98
167,Katherine,AU,2020-06-18 20:42:46,-14.47,132.27,289.15,82,1,2.1
168,Mossendjo,CG,2020-06-18 20:41:16,-2.95,12.73,293.48,92,89,0.94
169,Hambantota,LK,2020-06-18 20:37:25,6.12,81.12,300.56,83,75,7.38
170,Matay,EG,2020-06-18 20:42:46,28.42,30.78,297.25,51,0,6.58
171,Maple Creek,CA,2020-06-18 20:42:46,49.92,-109.48,285.97,54,82,5.29
172,Waipawa,NZ,2020-06-18 20:39:47,-41.41,175.52,284.82,93,100,8.7
173,Gat,IL,2020-06-18 20:39:01,31.61,34.76,297.04,78,6,2.56
174,Stornoway,GB,2020-06-18 20:40:16,58.21,-6.39,289.82,82,64,3.6
175,Cortez,US,2020-06-18 20:42:47,37.35,-108.59,300.15,15,1,1.5
176,Sheffield,GB,2020-06-18 20:42:47,53.38,-1.47,287.04,99,68,1.9
177,Kichera,RU,2020-06-18 20:42:48,55.94,110.1,283.37,57,0,1.5
178,Cherskiy,RU,2020-06-18 20:40:16,68.75,161.3,295.29,33,0,3.57
179,Palana,RU,2020-06-18 20:42:48,59.12,159.97,282.33,89,47,1.03
180,Sulangan,PH,2020-06-18 20:42:48,11.14,123.72,299.06,87,100,7.61
181,Nykoping,SE,2020-06-18 20:41:46,58.75,17.01,289.15,77,0,1.5
182,Upernavik,GL,2020-06-18 20:40:16,72.79,-56.15,275.64,81,0,5.1
183,Santarem,BR,2020-06-18 20:42:49,-2.44,-54.71,302.24,68,76,1.48
184,Aklavik,CA,2020-06-18 20:41:30,68.22,-135.01,288.15,72,40,3.1
185,Havoysund,NO,2020-06-18 20:40:32,71.0,24.66,279.15,81,75,7.7
186,Pedernales,DO,2020-06-18 20:40:32,18.04,-71.74,306.15,52,20,6.2
187,Kaitangata,NZ,2020-06-18 20:40:15,-46.28,169.85,279.14,81,20,4.85
188,Chake Chake,TZ,2020-06-18 20:42:50,-5.25,39.77,297.97,81,7,6.53
189,Grindavik,IS,2020-06-18 20:41:18,63.84,-22.43,283.15,81,75,10.3
190,Mareeba,AU,2020-06-18 20:39:59,-17.0,145.43,294.26,92,45,0.89
191,Tarakan,ID,2020-06-18 20:42:51,3.3,117.63,300.38,80,100,1.59
192,Aasiaat,GL,2020-06-18 20:42:51,68.71,-52.87,276.26,80,2,4.2
193,Fortuna,US,2020-06-18 20:41:01,40.6,-124.16,292.15,72,1,5.1
194,Komsomolskiy,UZ,2020-06-18 20:41:22,40.43,71.72,294.33,40,32,1.43
195,Kalnibolotskaya,RU,2020-06-18 20:42:52,46.01,40.46,294.82,71,86,3.92
196,Deer Lake,CA,2020-06-18 20:40:41,49.17,-57.43,292.15,82,90,3.1
197,Jeremie,HT,2020-06-18 20:42:52,18.65,-74.12,302.56,66,37,1.81
198,San Jose,US,2020-06-18 20:38:50,37.34,-121.89,307.04,14,40,3.1
199,Panzhihua,CN,2020-06-18 20:42:53,26.59,101.71,295.26,75,74,0.91
200,San Policarpo,PH,2020-06-18 20:40:11,12.18,125.51,298.08,87,92,2.36
201,Seremban,MY,2020-06-18 20:42:53,2.73,101.94,298.15,94,20,1.5
202,Erdenet,MN,2020-06-18 20:40:51,49.03,104.08,285.28,89,80,1.05
203,Lompoc,US,2020-06-18 20:40:14,34.64,-120.46,294.15,64,0,5.7
204,Poum,NC,2020-06-18 20:39:49,-20.23,164.02,296.55,76,99,5.77
205,Iquique,CL,2020-06-18 20:40:25,-20.22,-70.14,290.15,72,90,2.6
206,Makakilo City,US,2020-06-18 20:42:54,21.35,-158.09,301.15,65,75,4.6
207,Ordynskoye,RU,2020-06-18 20:42:54,54.37,81.9,285.68,96,86,3.41
208,Maceio,BR,2020-06-18 20:40:59,-9.67,-35.74,298.15,73,20,3.6
209,Laramie,US,2020-06-18 20:42:55,41.31,-105.59,290.15,27,1,3.6
210,Spornoye,RU,2020-06-18 20:42:55,50.84,37.29,296.15,56,31,3.0
