City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
144,Kudahuvadhoo,MV,83.44,2.67,72.89,broken clouds,Kudahuvadhoo Retreat
149,Digapahandi,IN,80.42,19.37,84.58,overcast clouds,Pradeep jewellers
153,Touros,BR,77.0,-5.2,-35.46,clear sky,INN NEW HORIZON
154,Port Blair,IN,82.71,11.67,92.75,overcast clouds,Hotel Sentinel
167,Kutum,SD,75.49,14.2,24.67,clear sky,Dibbo areaمنطقة دبو
173,Fort-Shevchenko,KZ,79.86,44.51,50.26,overcast clouds,Oasis hotel Bautino
179,Harindanga,IN,80.6,22.04,88.32,haze,Sk giasuddin
183,Eirunepe,BR,82.49,-6.66,-69.87,scattered clouds,Pousada Novo Acre
185,Mecca,SA,82.62,21.43,39.83,overcast clouds,Hotel Fairmont Makkah Clock Royal Tower
188,Nandurbar,IN,80.53,21.37,74.25,broken clouds,Hotel Heera Executive
198,Malakal,SS,79.45,9.53,31.66,broken clouds,Nile Palace Hotel
206,Rudbar,AF,86.56,30.15,62.6,clear sky,
213,Moville,US,77.0,42.49,-96.07,overcast clouds,EastSide Acres Mobile Home Park
214,Road Town,VG,86.0,18.42,-64.62,dust,"ZINGARA 76ft Catamaran, full crew-all included"
216,Marzuq,YE,85.08,14.4,46.47,broken clouds,
217,Bandarbeyla,SO,79.77,9.49,50.81,broken clouds,REER XOOSHLE GROUP
218,Mbini,GQ,76.96,1.57,9.61,scattered clouds,
222,Pandi,PH,81.0,14.89,120.86,few clouds,St. Agatha Resort
226,Los Algarrobos,PA,84.2,8.5,-82.43,shower rain,Waterfall Hostel
227,Kashan,IR,81.3,33.98,51.44,clear sky,Manouchehri Traditional House And Hotel
230,Rapar,IN,85.28,23.57,70.63,overcast clouds,Dharamshi Bapa’s Home
234,Tahta,EG,83.1,26.77,31.5,clear sky,Møhãmęd Tãręk 🏠
236,Springdale,US,84.99,36.19,-94.13,scattered clouds,Springdale Inn
238,Bubaque,GW,81.59,11.28,-15.83,scattered clouds,Casa Dora
239,Novo Aripuana,BR,82.72,-5.12,-60.38,broken clouds,Hotel Ypê
243,Darab,IR,76.66,28.75,54.54,clear sky,Naghshe shapoor Hotel
244,Upata,VE,80.89,8.01,-62.4,broken clouds,Posada Villa Nela
248,Puerto Baquerizo Moreno,EC,75.2,-0.9,-89.6,broken clouds,Hotel los Algarrobos
251,Oussouye,SN,84.2,12.48,-16.55,few clouds,Auberge du Routard
254,Sur,OM,84.99,22.57,59.53,overcast clouds,Sur Plaza Hotel
255,Mayfield,US,82.0,36.74,-88.64,broken clouds,Quality Inn
256,El Dorado,US,87.8,33.21,-92.67,few clouds,"Country Inn & Suites by Radisson, El Dorado, AR"
261,Anloga,GH,78.8,5.79,0.9,scattered clouds,Dey Lodge
263,Matagami,CA,77.0,49.75,-77.63,light rain,Hôtel Matagami
268,Dawlatabad,AF,87.37,36.41,64.91,clear sky,WASIM ASGAR KHAN
270,San Pedro,PH,81.0,14.35,121.02,few clouds,OYO 412 Viewfort Venue
278,Alibag,IN,84.2,18.64,72.88,haze,"Radisson Blu Resort & Spa - Alibaug, India"
279,Alcala De Henares,ES,80.6,40.48,-3.36,clear sky,AC Hotel by Marriott Alcala de Henares
282,Gasa,PS,84.0,31.5,34.47,clear sky,رابطة الفنانين الفلسطينيين
