City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches)
193,Maceio,BR,-9.67,-35.74,73.4,83,0,4.7,clear sky,0.0,0.0
194,Mustafakemalpasa,TR,40.04,28.41,68.0,93,0,1.12,clear sky,0.0,0.0
195,Barra Patuca,HN,15.8,-84.28,84.58,75,4,14.2,light rain,0.37,0.0
196,Mitu,CO,1.2,-70.17,79.07,92,76,1.45,light rain,0.42,0.0
197,Mpika,ZM,-11.83,31.45,52.32,59,0,5.37,clear sky,0.0,0.0
198,Malakal,SS,9.53,31.66,79.45,75,73,0.38,broken clouds,0.0,0.0
199,Promyshlennyy,RU,67.58,63.92,34.5,94,100,13.67,light snow,0.0,0.15
200,Axim,GH,4.87,-2.24,77.0,86,99,11.86,light rain,0.22,0.0
201,Ceuta,ES,35.89,-5.31,73.4,77,0,6.93,clear sky,0.0,0.0
202,Almeirim,BR,-1.52,-52.58,76.24,92,58,5.1,light rain,0.15,0.0
203,Astana,KZ,51.18,71.45,51.8,57,0,4.47,clear sky,0.0,0.0
204,Vagur,FO,61.47,-6.81,50.68,95,70,17.58,broken clouds,0.0,0.0
205,Kikwit,CD,-5.04,18.82,72.14,42,0,1.52,clear sky,0.0,0.0
206,Rudbar,AF,30.15,62.6,86.56,12,0,6.02,clear sky,0.0,0.0
207,Souillac,MU,-20.52,57.52,69.8,77,75,11.41,shower rain,0.0,0.0
208,Salta,AR,-24.79,-65.41,69.8,46,20,12.75,few clouds,0.0,0.0
209,Vila Franca Do Campo,PT,37.72,-25.43,66.2,93,75,4.7,broken clouds,0.0,0.0
210,Balkanabat,TM,39.51,54.37,74.53,67,0,4.12,clear sky,0.0,0.0
211,Tete,MZ,-16.16,33.59,59.0,62,0,3.36,clear sky,0.0,0.0
212,Sassandra,CI,4.95,-6.08,75.83,90,99,8.52,light rain,0.29,0.0
213,Moville,US,42.49,-96.07,77.0,88,90,3.36,overcast clouds,0.0,0.0
214,Road Town,VG,18.42,-64.62,86.0,74,20,10.29,dust,0.0,0.0
215,Hwange,ZW,-18.37,26.5,52.54,53,0,3.87,clear sky,0.0,0.0
216,Marzuq,YE,14.4,46.47,85.08,33,67,2.24,broken clouds,0.0,0.0
217,Bandarbeyla,SO,9.49,50.81,79.77,75,53,28.79,broken clouds,0.0,0.0
218,Mbini,GQ,1.57,9.61,76.96,86,40,10.11,scattered clouds,0.0,0.0
219,Putina,PE,-15.47,-69.43,48.49,47,1,3.18,clear sky,0.0,0.0
220,Marataizes,BR,-21.04,-40.82,72.61,84,0,14.58,clear sky,0.0,0.0
221,Henties Bay,NA,-22.12,14.28,57.99,81,11,8.32,few clouds,0.0,0.0
222,Pandi,PH,14.89,120.86,81.0,88,20,1.12,few clouds,0.0,0.0
223,Khorramshahr,IR,30.44,48.17,91.4,27,0,11.41,clear sky,0.0,0.0
224,Yar-Sale,RU,66.83,70.83,41.77,85,100,13.15,light rain,0.29,0.0
225,Beira,MZ,-19.84,34.84,62.6,93,0,5.82,clear sky,0.0,0.0
226,Los Algarrobos,PA,8.5,-82.43,84.2,74,40,4.7,shower rain,0.0,0.0
227,Kashan,IR,33.98,51.44,81.3,15,0,7.27,clear sky,0.0,0.0
228,Lira,UG,2.23,32.91,63.99,92,14,2.51,few clouds,0.0,0.0
229,Los Llanos De Aridane,ES,28.66,-17.92,73.4,69,40,16.11,scattered clouds,0.0,0.0
230,Rapar,IN,23.57,70.63,85.28,69,89,13.06,overcast clouds,0.0,0.0
231,Pisco,PE,-13.7,-76.22,64.4,82,75,8.05,broken clouds,0.0,0.0
232,Matara,LK,5.95,80.54,80.65,82,100,16.06,light rain,0.11,0.0
233,Weligama,LK,5.97,80.42,80.71,82,100,16.51,light rain,0.16,0.0
234,Tahta,EG,26.77,31.5,83.1,18,0,2.55,clear sky,0.0,0.0
235,Mollendo,PE,-17.02,-72.01,62.85,74,84,7.18,broken clouds,0.0,0.0
236,Springdale,US,36.19,-94.13,84.99,62,40,17.22,scattered clouds,0.0,0.0
237,Laguna,US,38.42,-121.42,96.01,26,1,8.05,clear sky,0.0,0.0
238,Bubaque,GW,11.28,-15.83,81.59,86,50,15.14,scattered clouds,0.0,0.0
239,Novo Aripuana,BR,-5.12,-60.38,82.72,66,51,2.08,broken clouds,0.0,0.0
240,Quelimane,MZ,-17.88,36.89,64.76,91,2,2.37,clear sky,0.0,0.0
241,Pitsunda,GE,43.16,40.34,68.0,88,51,6.71,broken clouds,0.0,0.0
242,Codrington,AU,-38.27,141.97,44.58,93,78,2.62,broken clouds,0.0,0.0
243,Darab,IR,28.75,54.54,76.66,16,0,2.28,clear sky,0.0,0.0
244,Upata,VE,8.01,-62.4,80.89,65,60,6.49,broken clouds,0.0,0.0
245,Khandbari,NP,27.37,87.2,73.42,76,81,0.29,broken clouds,0.0,0.0
246,Santiago Del Estero,AR,-27.8,-64.26,63.1,64,100,10.4,light rain,0.17,0.0
247,Vihari,PK,30.03,72.35,98.26,23,0,10.13,clear sky,0.0,0.0
248,Puerto Baquerizo Moreno,EC,-0.9,-89.6,75.2,73,75,13.87,broken clouds,0.0,0.0
249,Jalu,LY,29.03,21.55,74.1,55,0,13.33,clear sky,0.0,0.0
250,Kamenka,RU,51.32,42.77,64.0,89,57,4.0,broken clouds,0.0,0.0
251,Oussouye,SN,12.48,-16.55,84.2,83,20,6.93,few clouds,0.0,0.0
252,Cap-Aux-Meules,CA,47.38,-61.86,57.2,87,75,11.41,broken clouds,0.0,0.0
253,Tignere,CM,7.37,12.65,65.48,91,97,2.01,overcast clouds,0.0,0.0
254,Sur,OM,22.57,59.53,84.99,70,88,11.92,overcast clouds,0.0,0.0
255,Mayfield,US,36.74,-88.64,82.0,69,75,4.7,broken clouds,0.0,0.0
256,El Dorado,US,33.21,-92.67,87.8,66,20,4.7,few clouds,0.0,0.0
257,Dogondoutchi,NE,13.64,4.03,98.69,21,58,6.51,broken clouds,0.0,0.0
258,Hofn,IS,64.25,-15.21,50.49,89,100,16.64,moderate rain,2.43,0.0
259,Shahrud,IR,36.42,54.98,71.69,23,0,10.16,clear sky,0.0,0.0
260,Thompson,CA,55.74,-97.86,59.0,87,90,9.17,overcast clouds,0.0,0.0
261,Anloga,GH,5.79,0.9,78.8,88,40,8.05,scattered clouds,0.0,0.0
262,Valdivia,CL,-39.81,-73.25,48.2,93,90,5.82,overcast clouds,0.0,0.0
263,Matagami,CA,49.75,-77.63,77.0,65,90,8.05,light rain,0.0,0.0
264,Thaba-Tseka,LS,-29.52,28.61,32.25,87,31,0.38,scattered clouds,0.0,0.0
265,Barranca,PE,-10.75,-77.77,64.6,79,20,8.05,few clouds,0.0,0.0
266,Birao,CF,10.28,22.79,76.73,78,99,9.95,light rain,0.66,0.0
267,Sergeyevka,KZ,53.88,67.42,49.41,88,97,5.21,overcast clouds,0.0,0.0
268,Dawlatabad,AF,36.41,64.91,87.37,12,0,8.84,clear sky,0.0,0.0
269,Carnarvon,AU,-24.87,113.63,57.2,87,0,5.82,clear sky,0.0,0.0
270,San Pedro,PH,14.35,121.02,81.0,88,20,1.12,few clouds,0.0,0.0
271,Bereda,ES,43.27,-7.54,61.0,98,28,3.0,scattered clouds,0.0,0.0
272,Camacupa,AO,-12.02,17.48,51.76,47,0,3.53,clear sky,0.0,0.0
273,Qaqortoq,GL,60.72,-46.03,59.0,47,100,1.12,overcast clouds,0.0,0.0
274,Byumba,RW,-1.58,30.07,53.02,100,41,2.98,scattered clouds,0.0,0.0
275,Totness,SR,5.88,-56.32,78.78,86,68,9.86,light rain,0.43,0.0
276,Songea,TZ,-10.68,35.65,54.1,72,4,2.28,clear sky,0.0,0.0
277,Bom Conselho,BR,-9.17,-36.68,62.51,97,0,7.43,clear sky,0.0,0.0
278,Alibag,IN,18.64,72.88,84.2,89,75,5.82,haze,0.0,0.0
279,Alcala De Henares,ES,40.48,-3.36,80.6,31,0,8.05,clear sky,0.0,0.0
280,Strezhevoy,RU,60.73,77.59,51.8,93,90,8.95,overcast clouds,0.0,0.0
281,Tocopilla,CL,-22.09,-70.2,62.4,69,38,7.05,scattered clouds,0.0,0.0
282,Gasa,PS,31.5,34.47,84.0,39,0,2.24,clear sky,0.0,0.0
283,Torbay,CA,47.67,-52.73,55.0,53,90,9.17,overcast clouds,0.0,0.0
284,Trinidad,BO,-14.83,-64.9,87.8,62,20,9.17,few clouds,0.0,0.0
285,Caravelas,BR,-17.71,-39.25,70.5,72,0,4.05,clear sky,0.0,0.0
286,Odweyne,SO,9.41,45.06,76.87,57,71,10.49,broken clouds,0.0,0.0
287,Rawah,IQ,34.48,41.91,81.72,31,0,9.91,clear sky,0.0,0.0
288,Tessalit,ML,20.2,1.01,95.99,9,0,13.53,clear sky,0.0,0.0
289,Bredy,RU,52.42,60.34,49.23,91,5,10.58,clear sky,0.0,0.0
290,Jaguarao,BR,-32.57,-53.38,61.99,95,50,5.1,scattered clouds,0.0,0.0
291,Cori,IT,41.64,12.91,63.0,81,46,1.99,scattered clouds,0.0,0.0
292,Methoni,GR,36.82,21.7,71.01,72,20,5.82,few clouds,0.0,0.0
293,Westport,US,41.14,-73.36,84.99,51,1,11.41,clear sky,0.0,0.0
294,Asmara,ER,15.33,38.93,65.77,58,13,9.22,few clouds,0.0,0.0
295,Nouadhibou,MR,20.93,-17.03,73.4,69,0,16.11,sand,0.0,0.0
296,Jumla,NP,29.27,82.18,60.01,70,92,0.6,light rain,0.43,0.0
297,Venezuela,VE,8.0,-66.0,86.2,67,28,8.16,scattered clouds,0.0,0.0
298,La Belgica,BO,-17.55,-63.22,80.6,83,40,13.87,scattered clouds,0.0,0.0
299,Sabla,NG,12.75,4.71,91.83,42,27,12.8,scattered clouds,0.0,0.0
